timeIndex,rho,rhoU,rhoE
256,0.00256,0.00165576,0.00129813,0.00080906
257,0.00257,0.00165795,0.00129675,0.000808368
258,0.00258,0.00166009,0.0012954,0.000807679
259,0.00259,0.00166218,0.00129408,0.000806993
260,0.0026,0.00166423,0.00129278,0.000806312
261,0.00261,0.00166622,0.00129151,0.000805634
262,0.00262,0.00166816,0.00129027,0.000804959
263,0.00263,0.00167006,0.00128905,0.000804288
264,0.00264,0.0016719,0.00128787,0.00080362
265,0.00265,0.0016737,0.0012867,0.000802956
266,0.00266,0.00167545,0.00128557,0.000802295
267,0.00267,0.00167715,0.00128446,0.000801637
268,0.00268,0.0016788,0.00128338,0.000800983
269,0.00269,0.00168041,0.00128233,0.000800331
270,0.0027,0.00168197,0.0012813,0.000799683
271,0.00271,0.00168348,0.00128029,0.000799038
272,0.00272,0.00168495,0.00127931,0.000798397
273,0.00273,0.00168637,0.00127836,0.000797758
274,0.00274,0.00168775,0.00127743,0.000797122
275,0.00275,0.00168908,0.00127652,0.00079649
276,0.00276,0.00169037,0.00127564,0.00079586
277,0.00277,0.00169161,0.00127478,0.000795233
278,0.00278,0.00169281,0.00127395,0.00079461
279,0.00279,0.00169396,0.00127314,0.000793989
280,0.0028,0.00169508,0.00127235,0.000793371
281,0.00281,0.00169615,0.00127159,0.000792756
282,0.00282,0.00169717,0.00127084,0.000792143
283,0.00283,0.00169816,0.00127012,0.000791534
284,0.00284,0.0016991,0.00126942,0.000790927
285,0.00285,0.0017,0.00126874,0.000790323
286,0.00286,0.00170087,0.00126809,0.000789721
287,0.00287,0.00170169,0.00126745,0.000789122
288,0.00288,0.00170247,0.00126683,0.000788526
289,0.00289,0.00170321,0.00126623,0.000787933
290,0.0029,0.00170391,0.00126566,0.000787342
291,0.00291,0.00170458,0.0012651,0.000786753
292,0.00292,0.0017052,0.00126456,0.000786168
293,0.00293,0.00170579,0.00126404,0.000785584
294,0.00294,0.00170634,0.00126354,0.000785004
295,0.00295,0.00170685,0.00126305,0.000784425
296,0.00296,0.00170733,0.00126259,0.000783849
297,0.00297,0.00170777,0.00126214,0.000783276
298,0.00298,0.00170817,0.0012617,0.000782705
299,0.00299,0.00170854,0.00126129,0.000782137
300,0.003,0.00170887,0.00126089,0.000781571
301,0.00301,0.00170916,0.0012605,0.000781007
302,0.00302,0.00170943,0.00126013,0.000780445
303,0.00303,0.00170966,0.00125978,0.000779886
304,0.00304,0.00170985,0.00125944,0.00077933
305,0.00305,0.00171001,0.00125912,0.000778775
306,0.00306,0.00171014,0.0012588,0.000778223
307,0.00307,0.00171023,0.00125851,0.000777673
308,0.00308,0.0017103,0.00125822,0.000777125
309,0.00309,0.00171033,0.00125795,0.00077658
310,0.0031,0.00171033,0.0012577,0.000776037
311,0.00311,0.00171029,0.00125745,0.000775496
312,0.00312,0.00171023,0.00125722,0.000774957
313,0.00313,0.00171014,0.001257,0.000774421
314,0.00314,0.00171001,0.00125679,0.000773886
315,0.00315,0.00170986,0.0012566,0.000773354
316,0.00316,0.00170968,0.00125641,0.000772824
317,0.00317,0.00170946,0.00125623,0.000772296
318,0.00318,0.00170922,0.00125607,0.00077177
319,0.00319,0.00170895,0.00125591,0.000771246
320,0.0032,0.00170865,0.00125577,0.000770724
321,0.00321,0.00170833,0.00125563,0.000770204
322,0.00322,0.00170797,0.00125551,0.000769687
323,0.00323,0.00170759,0.00125539,0.000769171
324,0.00324,0.00170719,0.00125528,0.000768658
325,0.00325,0.00170675,0.00125518,0.000768146
326,0.00326,0.00170629,0.00125509,0.000767637
327,0.00327,0.00170581,0.00125501,0.000767129
328,0.00328,0.00170529,0.00125494,0.000766624
329,0.00329,0.00170476,0.00125487,0.00076612
330,0.0033,0.0017042,0.00125481,0.000765619
331,0.00331,0.00170361,0.00125476,0.000765119
332,0.00332,0.001703,0.00125471,0.000764622
333,0.00333,0.00170236,0.00125467,0.000764126
334,0.00334,0.0017017,0.00125464,0.000763632
335,0.00335,0.00170102,0.00125461,0.00076314
336,0.00336,0.00170032,0.00125459,0.00076265
337,0.00337,0.00169959,0.00125457,0.000762162
338,0.00338,0.00169884,0.00125457,0.000761676
339,0.00339,0.00169807,0.00125456,0.000761192
340,0.0034,0.00169727,0.00125456,0.000760709
341,0.00341,0.00169645,0.00125457,0.000760229
342,0.00342,0.00169562,0.00125458,0.00075975
343,0.00343,0.00169476,0.0012546,0.000759273
344,0.00344,0.00169388,0.00125461,0.000758798
345,0.00345,0.00169298,0.00125464,0.000758325
346,0.00346,0.00169205,0.00125467,0.000757854
347,0.00347,0.00169111,0.0012547,0.000757384
348,0.00348,0.00169015,0.00125474,0.000756916
349,0.00349,0.00168917,0.00125477,0.00075645
350,0.0035,0.00168817,0.00125482,0.000755986
351,0.00351,0.00168715,0.00125486,0.000755524
352,0.00352,0.00168612,0.00125491,0.000755063
353,0.00353,0.00168506,0.00125496,0.000754604
354,0.00354,0.00168399,0.00125502,0.000754147
355,0.00355,0.00168289,0.00125508,0.000753692
356,0.00356,0.00168178,0.00125514,0.000753238
357,0.00357,0.00168066,0.0012552,0.000752786
358,0.00358,0.00167951,0.00125526,0.000752336
359,0.00359,0.00167594,0.00125533,0.000751856
360,0.0036,0.00166117,0.00125543,0.000751232
361,0.00361,0.00164631,0.00125558,0.000750608
362,0.00362,0.0016314,0.00125579,0.000749984
363,0.00363,0.00161644,0.00125603,0.000749361
364,0.00364,0.00160146,0.00125633,0.000748739
365,0.00365,0.00158649,0.00125667,0.000748118
366,0.00366,0.00157155,0.00125705,0.000747497
367,0.00367,0.00155666,0.00125748,0.000746878
368,0.00368,0.00154184,0.00125794,0.000746261
369,0.00369,0.00152711,0.00125844,0.000745645
370,0.0037,0.00151251,0.00125898,0.000745031
371,0.00371,0.00149804,0.00125955,0.000744419
372,0.00372,0.00148375,0.00126015,0.000743809
373,0.00373,0.00146964,0.00126077,0.000743202
374,0.00374,0.00145574,0.00126143,0.000742597
375,0.00375,0.00144208,0.00126211,0.000741995
376,0.00376,0.00142867,0.00126281,0.000741396
377,0.00377,0.00141553,0.00126353,0.0007408
378,0.00378,0.00140269,0.00126426,0.000740208
379,0.00379,0.00139017,0.001265,0.000739619
380,0.0038,0.00137798,0.00126576,0.000739034
381,0.00381,0.00136614,0.00126652,0.000738453
382,0.00382,0.00135467,0.00126729,0.000737877
383,0.00383,0.00134359,0.00126806,0.000737305
384,0.00384,0.0013329,0.00126882,0.000736738
385,0.00385,0.00132262,0.00126958,0.000736175
386,0.00386,0.00131277,0.00127032,0.000735618
387,0.00387,0.00130334,0.00127106,0.000735066
388,0.00388,0.00129436,0.00127178,0.000734519
389,0.00389,0.00128583,0.00127248,0.000733978
390,0.0039,0.00127775,0.00127316,0.000733443
391,0.00391,0.00127013,0.00127381,0.000732914
392,0.00392,0.00126298,0.00127444,0.00073239
393,0.00393,0.00125628,0.00127503,0.000731873
394,0.00394,0.00125005,0.0012756,0.000731362
395,0.00395,0.00124428,0.00127612,0.000730857
396,0.00396,0.00123896,0.00127661,0.000730359
397,0.00397,0.0012341,0.00127705,0.000729868
398,0.00398,0.00122969,0.00127745,0.000729383
399,0.00399,0.00122573,0.0012778,0.000728905
400,0.004,0.00122219,0.00127811,0.000728433
