# Time	Cd	Cl	Cm
0.269	0.0131782	0.263817	0.00281646
0.27	0.0132906	0.273079	0.00259768
0.271	0.0136057	0.281202	0.00232316
0.272	0.0140971	0.289552	0.00203135
0.273	0.0146524	0.297281	0.0016432
0.274	0.0151149	0.303306	0.00126169
0.275	0.0154921	0.308706	0.000944243
0.276	0.0157475	0.313383	0.000675724
0.277	0.0158888	0.317888	0.000497331
0.278	0.0158675	0.321829	0.000326048
0.279	0.0157259	0.325172	0.000119592
0.28	0.0155311	0.328646	1.45866e-05
0.281	0.0153189	0.330706	-0.00028556
0.282	0.0151236	0.332791	-0.000581304
0.283	0.0149293	0.333851	-0.000963078
0.284	0.0147344	0.334799	-0.00130852
0.285	0.0144973	0.334777	-0.00177269
0.286	0.0142382	0.33452	-0.0022028
0.287	0.0139281	0.333828	-0.00266016
0.288	0.013556	0.332277	-0.0032515
0.289	0.0131571	0.330292	-0.00382984
0.29	0.0127252	0.32806	-0.00436279
0.291	0.0122473	0.325515	-0.00490334
0.292	0.0117432	0.322607	-0.00544124
0.293	0.0112155	0.31927	-0.00601569
0.294	0.0106646	0.315468	-0.00665384
0.295	0.0100931	0.311325	-0.00729322
0.296	0.00950531	0.306885	-0.00789573
0.297	0.0089027	0.302165	-0.00842143
0.298	0.00828251	0.297107	-0.0088681
0.299	0.00764754	0.291649	-0.00923775
0.3	0.00699515	0.285718	-0.00952067
0.301	0.00632001	0.279174	-0.00978288
0.302	0.00561521	0.272025	-0.00992976
0.303	0.004924	0.264356	-0.0100371
0.304	0.00421321	0.255927	-0.0102151
0.305	0.00350637	0.24702	-0.0105412
0.306	0.00282626	0.237738	-0.0108285
0.307	0.00215789	0.227485	-0.0108863
0.308	0.00154255	0.217182	-0.0109797
0.309	0.00093449	0.205906	-0.0112646
0.31	0.000375005	0.194401	-0.0117186
0.311	-0.000119882	0.183059	-0.0122209
0.312	-0.000535767	0.170271	-0.012368
0.313	-0.000901056	0.157575	-0.0126019
0.314	-0.00121907	0.144625	-0.0129884
0.315	-0.00146822	0.131662	-0.0133753
0.316	-0.00162144	0.117879	-0.0135467
0.317	-0.00171923	0.104009	-0.0137078
0.318	-0.00176959	0.090616	-0.0139736
0.319	-0.00170032	0.0758343	-0.0139139
0.32	-0.00158269	0.0613451	-0.0138543
0.321	-0.00139276	0.0467944	-0.0136836
